"","accession","organism","taxon_id"
"119","Q9BTD8","Homo sapiens",9606
"120","O95295","Homo sapiens",9606
"121","Q9NPD3","Homo sapiens",9606
"122","Q96BR5","Homo sapiens",9606
"123","P57081","Homo sapiens",9606
"124","P10659","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"125","P25205","Homo sapiens",9606
"126","Q16643","Homo sapiens",9606
"127","P42229","Homo sapiens",9606
"128","Q8TED0","Homo sapiens",9606
"129","Q99829","Homo sapiens",9606
"130","Q6IBS0","Homo sapiens",9606
"131","Q9P289","Homo sapiens",9606
"132","P28074","Homo sapiens",9606
"133","P62195","Homo sapiens",9606
"134","Q7Z7K0","Homo sapiens",9606
"135","P15891","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"136","O60232","Homo sapiens",9606
"137","P49321","Homo sapiens",9606
"138","Q9HAV4","Homo sapiens",9606
"139","Q96DG6","Homo sapiens",9606
"140","P62913","Homo sapiens",9606
"141","Q12074","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"142","Q9NXV6","Homo sapiens",9606
"143","P78347","Homo sapiens",9606
"144","P40763","Homo sapiens",9606
"145","Q86VP6","Homo sapiens",9606
"146","Q6P2E9","Homo sapiens",9606
"147","P53602","Homo sapiens",9606
"148","O43264","Homo sapiens",9606
"149","O76094","Homo sapiens",9606
"150","Q96B36","Homo sapiens",9606
"151","P23528","Homo sapiens",9606
"152","P60981","Homo sapiens",9606
"153","Q9P253","Homo sapiens",9606
"154","P78371","Homo sapiens",9606
"155","P48643","Homo sapiens",9606
"156","P38011","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"157","Q13601","Homo sapiens",9606
"158","Q9UEU0","Homo sapiens",9606
"159","Q7KZF4","Homo sapiens",9606
"160","Q96BD8","Homo sapiens",9606
"161","O75381","Homo sapiens",9606
"162","Q01658","Homo sapiens",9606
"163","Q9BXK5","Homo sapiens",9606
"164","O15294","Homo sapiens",9606
"165","Q05506","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"166","P40016","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"167","P56134","Homo sapiens",9606
"168","Q7Z4H3","Homo sapiens",9606
"169","Q15020","Homo sapiens",9606
"170","P29144","Homo sapiens",9606
"171","P22234","Homo sapiens",9606
"172","P20700","Homo sapiens",9606
"173","Q9NUU7","Homo sapiens",9606
"174","Q5SSJ5","Homo sapiens",9606
"175","Q9NX55","Homo sapiens",9606
"176","Q13435","Homo sapiens",9606
"177","Q8NC96","Homo sapiens",9606
"178","P82979","Homo sapiens",9606
"179","Q8WUM4","Homo sapiens",9606
"180","Q15637","Homo sapiens",9606
"181","P07259","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"182","P11745","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"183","P29692","Homo sapiens",9606
"184","P18583","Homo sapiens",9606
"185","P48426","Homo sapiens",9606
"186","Q9Y2P8","Homo sapiens",9606
"187","Q6PKG0","Homo sapiens",9606
"188","Q9NW64","Homo sapiens",9606
"189","P38919","Homo sapiens",9606
"190","P06730","Homo sapiens",9606
"191","Q01469","Homo sapiens",9606
"192","P46821","Homo sapiens",9606
"193","Q15437","Homo sapiens",9606
"194","Q9NVA2","Homo sapiens",9606
"195","Q15691","Homo sapiens",9606
"196","Q9UPY8","Homo sapiens",9606
"197","P09012","Homo sapiens",9606
"198","P21796","Homo sapiens",9606
"199","O15143","Homo sapiens",9606
"200","P60660","Homo sapiens",9606
"201","Q9BV44","Homo sapiens",9606
"202","Q2VPK5","Homo sapiens",9606
"203","Cont_P60712",NA,NA
"204","P60709","Homo sapiens",9606
"205","P63261","Homo sapiens",9606
"206","P35658","Homo sapiens",9606
"207","P12235","Homo sapiens",9606
"208","Q92620","Homo sapiens",9606
"209","Q9BTY7","Homo sapiens",9606
"210","Q13535","Homo sapiens",9606
"211","Q9NQS7","Homo sapiens",9606
"212","Q15365","Homo sapiens",9606
"213","O43592","Homo sapiens",9606
"214","P26599","Homo sapiens",9606
"215","P00498","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"216","P32381","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"217","O95373","Homo sapiens",9606
"218","P60010","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"219","P49588","Homo sapiens",9606
"220","P49723","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"221","P06132","Homo sapiens",9606
"222","P06748","Homo sapiens",9606
"223","Q9NVZ3","Homo sapiens",9606
"224","Q8WW33","Homo sapiens",9606
"225","P49327","Homo sapiens",9606
"226","P17987","Homo sapiens",9606
"227","Q14974","Homo sapiens",9606
"228","Q9H3K6","Homo sapiens",9606
"229","P19623","Homo sapiens",9606
"230","O60610","Homo sapiens",9606
"231","O13535","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"232","P0C2I2","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"233","P0C2I4","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"234","P0C2J0","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"235","P0CX59","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"236","P0CX60","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"237","P0CX65","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"238","P0CX66","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"239","P0CX67","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"240","P0CX68","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"241","P0CX69","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"242","Q03619","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"243","Q03855","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"244","Q03856","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"245","Q04670","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"246","Q12088","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"247","Q12193","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"248","Q12217","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"249","Q12316","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"250","Q12441","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"251","Q92393","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"252","Q99231","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"253","P61163","Homo sapiens",9606
"254","P61978","Homo sapiens",9606
"255","P52597","Homo sapiens",9606
"256","P31943","Homo sapiens",9606
"257","P41252","Homo sapiens",9606
"258","Q99832","Homo sapiens",9606
"259","P04080","Homo sapiens",9606
"260","P49368","Homo sapiens",9606
"261","P31539","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"262","P11940","Homo sapiens",9606
"263","P55884","Homo sapiens",9606
"264","P63220","Homo sapiens",9606
"265","Q99385","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"266","P62258","Homo sapiens",9606
"267","Q9HD42","Homo sapiens",9606
"268","P21576","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"269","Q9UGV2","Homo sapiens",9606
"270","Q5BKZ1","Homo sapiens",9606
"271","P15303","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"272","Q15428","Homo sapiens",9606
"273","P33448","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"274","P08579","Homo sapiens",9606
"275","Q14566","Homo sapiens",9606
"276","Q12154","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"277","O00161","Homo sapiens",9606
"278","O43399","Homo sapiens",9606
"279","Q9H6V9","Homo sapiens",9606
"280","P32598","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"281","O60220","Homo sapiens",9606
"282","P54136","Homo sapiens",9606
"283","Q9Y5Y2","Homo sapiens",9606
"284","Q12016","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"285","O43504","Homo sapiens",9606
"286","Q9NQC3","Homo sapiens",9606
"287","O76021","Homo sapiens",9606
"288","P53384","Homo sapiens",9606
"289","O75832","Homo sapiens",9606
"290","Q9Y5L4","Homo sapiens",9606
"291","Q5JS54","Homo sapiens",9606
"292","Q15050","Homo sapiens",9606
"293","A0AVT1","Homo sapiens",9606
"294","Q9UJA5","Homo sapiens",9606
"295","Q9BXV9","Homo sapiens",9606
"296","P36954","Homo sapiens",9606
"297","P46379","Homo sapiens",9606
"298","Q8TEX9","Homo sapiens",9606
"299","P78344","Homo sapiens",9606
"300","P10644","Homo sapiens",9606
"301","Q9UKK9","Homo sapiens",9606
"302","P0C2I6","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"303","P0CX74","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"304","P0CX75","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"305","P0CX76","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"306","P47098","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"307","P47099","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"308","P47100","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"309","Q03434","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"310","Q12085","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"311","Q12141","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"312","Q12269","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"313","Q12485","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"314","P29401","Homo sapiens",9606
"315","P00812","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"316","Q12874","Homo sapiens",9606
"317","P50453","Homo sapiens",9606
"318","P35250","Homo sapiens",9606
"319","P51991","Homo sapiens",9606
"320","O00273","Homo sapiens",9606
"321","Q9UK41","Homo sapiens",9606
"322","Q9H910","Homo sapiens",9606
"323","Q92600","Homo sapiens",9606
"324","Q13111","Homo sapiens",9606
"325","Q8WWM7","Homo sapiens",9606
"326","Q9BWD1","Homo sapiens",9606
"327","Q92879","Homo sapiens",9606
"328","P53633","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"329","P01123","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"330","Q16763","Homo sapiens",9606
"331","Q9BVC4","Homo sapiens",9606
"332","O15116","Homo sapiens",9606
"333","Q9H2J4","Homo sapiens",9606
"334","O95639","Homo sapiens",9606
"335","B2RUZ4","Homo sapiens",9606
"336","P16861","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"337","P40121","Homo sapiens",9606
"338","P46940","Homo sapiens",9606
"339","P32468","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"340","O14745","Homo sapiens",9606
"341","O60664","Homo sapiens",9606
"342","P10080","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"343","P25567","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"344","P30519","Homo sapiens",9606
"345","P56211","Homo sapiens",9606
"346","P46779","Homo sapiens",9606
"347","Q9UKF6","Homo sapiens",9606
"348","P38879","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"349","P41567","Homo sapiens",9606
"350","P38216","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"351","P40159","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"352","P32835","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"353","O95487","Homo sapiens",9606
"354","P32836","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"355","P80217","Homo sapiens",9606
"356","Q12489","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"357","P35659","Homo sapiens",9606
"358","P04801","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"359","P40075","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"360","P21825","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"361","P0CX51","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"362","P0CX52","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"363","P04183","Homo sapiens",9606
"364","P06454","Homo sapiens",9606
"365","Q8NDC0","Homo sapiens",9606
"366","P51159","Homo sapiens",9606
"367","P62328","Homo sapiens",9606
"368","Q13177","Homo sapiens",9606
"369","P40462","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"370","Q06677","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"371","P25451","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"372","P08047","Homo sapiens",9606
"373","P63165","Homo sapiens",9606
"374","P47756","Homo sapiens",9606
"375","O60234","Homo sapiens",9606
"376","O14467","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"377","O95747","Homo sapiens",9606
"378","P07384","Homo sapiens",9606
"379","P38166","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"380","Q00955","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"381","P10081","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"382","P09436","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"383","P16403","Homo sapiens",9606
"384","P10412","Homo sapiens",9606
"385","Q04067","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"386","Q12402","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"387","O75534","Homo sapiens",9606
"388","P25644","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"389","Q07551","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"390","Q00245","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"391","P87108","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"392","P21243","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"393","P08865","Homo sapiens",9606
"394","Q12996","Homo sapiens",9606
"395","P11387","Homo sapiens",9606
"396","Q9UQ80","Homo sapiens",9606
"397","Q15102","Homo sapiens",9606
"398","Q9BRT3","Homo sapiens",9606
"399","P37198","Homo sapiens",9606
"400","O15247","Homo sapiens",9606
"401","P63218","Homo sapiens",9606
"402","O43719","Homo sapiens",9606
"403","Q12792","Homo sapiens",9606
"404","P43616","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"405","P84090","Homo sapiens",9606
"406","P17649","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"407","Q2TAY7","Homo sapiens",9606
"408","P14020","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"409","Q9Y3A5","Homo sapiens",9606
"410","P49720","Homo sapiens",9606
"411","P30613","Homo sapiens",9606
"412","Q9BZK7","Homo sapiens",9606
"413","P13489","Homo sapiens",9606
"414","P78406","Homo sapiens",9606
"415","Q9UMS4","Homo sapiens",9606
"416","P07277","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"417","P62306","Homo sapiens",9606
"418","P0CX55","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"419","P0CX56","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"420","Q96I25","Homo sapiens",9606
"421","P35719","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"422","Q15717","Homo sapiens",9606
"423","P12709","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"424","P21399","Homo sapiens",9606
"425","P39015","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"426","P50086","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"427","Q99496","Homo sapiens",9606
"428","P68402","Homo sapiens",9606
"429","P46988","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"430","P26785","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"431","Q6UVJ0","Homo sapiens",9606
"432","P32356","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"433","P14832","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"434","P15454","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"435","P36421","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"436","P22203","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"437","P40046","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"438","P41920","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"439","Q9Y2V2","Homo sapiens",9606
"440","Q9NQG5","Homo sapiens",9606
"441","P16152","Homo sapiens",9606
"442","P26637","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"443","P25788","Homo sapiens",9606
"444","P62820","Homo sapiens",9606
"445","P06787","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"446","P22515","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"447","P47095","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"448","P31109","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"449","P38115","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"450","Q00341","Homo sapiens",9606
"451","P49959","Homo sapiens",9606
"452","Q01662","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"453","P53164","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"454","Q9Y241","Homo sapiens",9606
"455","O94742","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"456","P21965","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"457","P0CX47","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"458","P0CX48","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"459","Q08971","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"460","P20340","Homo sapiens",9606
"461","P38197","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"462","P49189","Homo sapiens",9606
"463","P28496","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"464","P26640","Homo sapiens",9606
"465","P52292","Homo sapiens",9606
"466","Q06672","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"467","Q12285","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"468","P13029","Escherichia coli (strain K12)",83333
"469","Q92522","Homo sapiens",9606
"470","P26784","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"471","P00937","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"472","P32342","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"473","P38828","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"474","Q92598","Homo sapiens",9606
"475","P07274","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"476","Q9H2U1","Homo sapiens",9606
"477","Q01130","Homo sapiens",9606
"478","P47117","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"479","Q9Y262","Homo sapiens",9606
"480","P40510","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"481","O15400","Homo sapiens",9606
"482","Q16658","Homo sapiens",9606
"483","Q9BYB4","Homo sapiens",9606
"484","P59998","Homo sapiens",9606
"485","P05141","Homo sapiens",9606
"486","P38174","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"487","P43598","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"488","P46976","Homo sapiens",9606
"489","P38972","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"490","P62253","Homo sapiens",9606
"491","P12236","Homo sapiens",9606
"492","P47912","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"493","P46782","Homo sapiens",9606
"494","Q86WQ0","Homo sapiens",9606
"495","Q9GZS3","Homo sapiens",9606
"496","O95777","Homo sapiens",9606
"497","P11277","Homo sapiens",9606
"498","P21242","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"499","O95071","Homo sapiens",9606
"500","Q03533","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"501","O00151","Homo sapiens",9606
"502","P15104","Homo sapiens",9606
"503","Q16186","Homo sapiens",9606
"504","Q15436","Homo sapiens",9606
"505","O75190","Homo sapiens",9606
"506","P62937","Homo sapiens",9606
"507","P55735","Homo sapiens",9606
"508","P36578","Homo sapiens",9606
"509","Q92945","Homo sapiens",9606
"510","Q68E01","Homo sapiens",9606
"511","Q8IYB3","Homo sapiens",9606
"512","Q9P258","Homo sapiens",9606
"513","Q8NBS9","Homo sapiens",9606
"514","Q14103","Homo sapiens",9606
"515","Q9UQ35","Homo sapiens",9606
"516","P52701","Homo sapiens",9606
"517","P00959","Escherichia coli (strain K12)",83333
"518","Q5VTL8","Homo sapiens",9606
"519","P77581","Escherichia coli (strain K12)",83333
"520","P0AAV6","Escherichia coli (strain K12)",83333
"521","P09938","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"522","P55060","Homo sapiens",9606
"523","Q9NQP4","Homo sapiens",9606
"524","P15180","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"525","P02786","Homo sapiens",9606
"526","P07954","Homo sapiens",9606
"527","Q9Y490","Homo sapiens",9606
"528","P0A7J3","Escherichia coli (strain K12)",83333
"529","P35221","Homo sapiens",9606
"530","Q96C19","Homo sapiens",9606
"531","Q9GZT9","Homo sapiens",9606
"532","Q96T51","Homo sapiens",9606
"533","P39935","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"534","P0DMV8","Homo sapiens",9606
"535","P0DMV9","Homo sapiens",9606
"536","P31948","Homo sapiens",9606
"537","O60716","Homo sapiens",9606
"538","Cont_Q29443",NA,NA
"539","Q06505","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"540","Q04697","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"541","P31350","Homo sapiens",9606
"542","P25694","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"543","Cont_Q3T052",NA,NA
"544","P38431","Saccharomyces cerevisiae (strain ATCC 204508 / S288c)",559292
"545","P49006","Homo sapiens",9606
"546","P16659","Escherichia coli (strain K12)",83333
"547","P19404","Homo sapiens",9606
"548","O43837","Homo sapiens",9606
"549","P22830","Homo sapiens",9606
"550","P46777","Homo sapiens",9606
"551","Q96PK6","Homo sapiens",9606
"552","P17858","Homo sapiens",9606
"553","P77674","Escherichia coli (strain K12)",83333
"554","P06753","Homo sapiens",9606
"555","Q14980","Homo sapiens",9606
"556","Q7Z6E9","Homo sapiens",9606
